,Lineups,Team,GP,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
1,G. Green - A. Tolliver - M. Morris - I. Thomas - A. Len,PHX,1,103.3,300.0,100.0,100.0,100,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,200.0
2,G. Green - P. Tucker - A. Price - E. Bledsoe - A. Len,PHX,1,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-200.0
3,G. Green - B. Wright - G. Dragic - M. Morris - I. Thomas,PHX,1,83.3,100.0,50.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,-100.0
4,G. Green - P. Tucker - B. Knight - M. Morris - T. Warren,PHX,1,79.2,100.0,50.0,100.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,150.0,50.0,-100.0
5,E. Barron - B. Wright - E. Bledsoe - B. Knight - M. Morris,PHX,1,78.3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-400.0
6,P. Tucker - G. Dragic - M. Morris - I. Thomas - A. Len,PHX,3,77.2,50.0,16.7,133.3,12.5,16.7,66.7,25.0,0.0,0.0,0.0,50.0,16.7,66.7,16.7,0.0,0.0,0.0,0.0,33.3,0.0,-83.3
7,P. Tucker - B. Wright - M. Thornton - E. Bledsoe - A. Len,PHX,1,76.7,200.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
8,P. Tucker - A. Tolliver - G. Dragic - E. Bledsoe - M. Plumlee,PHX,1,75.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0
9,P. Tucker - B. Wright - M. Thornton - M. Morris - A. Goodwin,PHX,1,75.0,100.0,50.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,100.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0
10,P. Tucker - M. Morris - M. Morris - A. Goodwin - T. Warren,PHX,1,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,200.0,0.0,-300.0
11,G. Green - P. Tucker - E. Bledsoe - M. Morris - R. Bullock,PHX,1,69.6,112.5,50.0,87.5,57.1,12.5,25.0,50.0,0.0,0.0,0.0,0.0,37.5,37.5,25.0,12.5,0.0,0.0,12.5,0.0,0.0,12.5
12,G. Green - P. Tucker - B. Wright - B. Knight - T. Warren,PHX,1,67.9,125.0,50.0,100.0,50.0,25.0,50.0,50.0,0.0,0.0,0.0,25.0,50.0,75.0,25.0,0.0,0.0,25.0,0.0,0.0,0.0,75.0
13,E. Barron - B. Wright - B. Knight - M. Morris - A. Goodwin,PHX,1,67.8,166.7,66.7,100.0,66.7,33.3,33.3,100,0.0,0.0,0.0,0.0,33.3,33.3,66.7,0.0,0.0,0.0,0.0,33.3,0.0,-66.7
14,P. Tucker - B. Wright - M. Thornton - A. Len - A. Goodwin,PHX,1,66.3,50.0,25.0,50.0,50.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,25.0,75.0,0.0,0.0,0.0,0.0,0.0,-100.0
15,B. Wright - M. Thornton - M. Morris - M. Morris - A. Goodwin,PHX,1,66.2,0.0,0.0,150.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,E. Barron - G. Green - B. Wright - A. Goodwin - R. Bullock,PHX,1,65.8,75.0,25.0,100.0,25.0,0.0,25.0,0.0,25.0,25.0,100,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,75.0
17,E. Barron - G. Green - P. Tucker - J. McNeal - A. Goodwin,PHX,1,64.2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,50.0,50.0,-250.0
18,G. Green - G. Dragic - M. Morris - I. Thomas - A. Len,PHX,3,63.5,137.5,50.0,112.5,44.4,0.0,0.0,0.0,37.5,37.5,100,50.0,12.5,62.5,0.0,12.5,0.0,0.0,12.5,37.5,50.0,-12.5
19,B. Wright - A. Price - M. Morris - A. Goodwin - T. Warren,PHX,1,63.3,133.3,66.7,100.0,66.7,0.0,16.7,0.0,0.0,0.0,0.0,16.7,33.3,50.0,16.7,0.0,0.0,0.0,0.0,33.3,0.0,0.0
20,E. Barron - G. Green - P. Tucker - E. Bledsoe - M. Morris,PHX,1,63.3,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0
21,E. Bledsoe - M. Morris - M. Morris - A. Len - A. Goodwin,PHX,2,63.3,60.0,20.0,120.0,16.7,0.0,40.0,0.0,20.0,20.0,100,40.0,60.0,100.0,0.0,20.0,0.0,0.0,0.0,40.0,40.0,20.0
22,S. Randolph - E. Bledsoe - M. Morris - I. Thomas - A. Len,PHX,1,63.3,200.0,50.0,100.0,50.0,50.0,50.0,100,50.0,50.0,100,0.0,50.0,50.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,100.0
23,G. Green - M. Morris - I. Thomas - A. Len - T. Warren,PHX,1,62.9,50.0,25.0,150.0,16.7,0.0,25.0,0.0,0.0,0.0,0.0,50.0,50.0,100.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,0.0
24,E. Barron - B. Wright - E. Bledsoe - M. Morris - A. Goodwin,PHX,1,62.8,200.0,100.0,200.0,50.0,0.0,33.3,0.0,0.0,0.0,0.0,66.7,33.3,100.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,100.0
25,G. Green - A. Tolliver - E. Bledsoe - M. Morris - M. Morris,PHX,1,62.8,0.0,0.0,66.7,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,33.3,33.3,0.0,0.0,0.0,0.0,0.0,33.3,33.3,-166.7
26,G. Green - P. Tucker - M. Morris - A. Len - A. Goodwin,PHX,2,62.5,100.0,25.0,100.0,25.0,0.0,25.0,0.0,50.0,75.0,66.7,50.0,50.0,100.0,0.0,25.0,0.0,0.0,0.0,75.0,50.0,25.0
27,G. Green - B. Wright - J. McNeal - M. Morris - A. Goodwin,PHX,1,61.7,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,100.0,0.0,-100.0
28,G. Green - P. Tucker - M. Morris - M. Morris - I. Thomas,PHX,2,61.7,100.0,33.3,66.7,50.0,0.0,33.3,0.0,33.3,66.7,50.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,66.7,33.3,-166.7
29,P. Tucker - G. Dragic - M. Morris - I. Thomas - M. Plumlee,PHX,3,61.2,80.0,40.0,120.0,33.3,0.0,40.0,0.0,0.0,0.0,0.0,20.0,30.0,50.0,20.0,0.0,0.0,0.0,0.0,50.0,0.0,-80.0
30,E. Barron - P. Tucker - J. McNeal - A. Goodwin - T. Warren,PHX,1,61.1,133.3,66.7,133.3,50.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,33.3,33.3,66.7,0.0,33.3,0.0,33.3,33.3,33.3,66.7
31,G. Green - A. Tolliver - G. Dragic - I. Thomas - M. Plumlee,PHX,1,61.0,140.0,60.0,80.0,75.0,20.0,20.0,100,0.0,0.0,0.0,20.0,20.0,40.0,20.0,40.0,0.0,0.0,0.0,40.0,0.0,-40.0
32,G. Green - P. Tucker - B. Wright - J. McNeal - T. Warren,PHX,1,60.4,0.0,0.0,75.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,25.0,25.0,50.0,0.0,50.0,0.0,-175.0
33,G. Green - A. Tolliver - G. Dragic - M. Morris - M. Morris,PHX,1,60.0,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,200.0
34,G. Green - S. Randolph - E. Bledsoe - M. Morris - I. Thomas,PHX,1,60.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-200.0
35,G. Green - G. Dragic - M. Morris - M. Morris - M. Plumlee,PHX,1,59.6,50.0,25.0,125.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,50.0,25.0,0.0,0.0,25.0,50.0,0.0,25.0,-50.0
36,G. Green - B. Wright - E. Bledsoe - M. Morris - A. Len,PHX,1,59.2,100.0,50.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0
37,G. Green - P. Tucker - B. Wright - I. Thomas - M. Plumlee,PHX,1,59.2,200.0,100.0,150.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,50.0,0.0,0.0,50.0,0.0,100.0
38,P. Tucker - M. Morris - A. Len - A. Goodwin - R. Bullock,PHX,1,59.1,200.0,66.7,100.0,66.7,0.0,0.0,0.0,66.7,66.7,100,33.3,33.3,66.7,0.0,0.0,0.0,33.3,33.3,0.0,33.3,33.3
39,G. Green - P. Tucker - A. Tolliver - E. Bledsoe - M. Morris,PHX,1,58.9,233.3,100.0,133.3,75.0,33.3,66.7,50.0,0.0,0.0,0.0,33.3,33.3,66.7,33.3,0.0,0.0,33.3,0.0,0.0,0.0,100.0
40,E. Barron - B. Wright - A. Goodwin - R. Bullock - T. Warren,PHX,1,58.7,92.3,46.2,100.0,46.2,0.0,15.4,0.0,0.0,15.4,0.0,7.7,23.1,30.8,23.1,0.0,7.7,0.0,0.0,15.4,23.1,30.8
41,E. Barron - B. Wright - A. Price - R. Bullock - T. Warren,PHX,1,58.7,140.0,40.0,120.0,33.3,0.0,20.0,0.0,60.0,60.0,100,40.0,40.0,80.0,20.0,0.0,20.0,20.0,20.0,20.0,40.0,40.0
42,G. Green - G. Dragic - E. Bledsoe - M. Morris - M. Plumlee,PHX,2,58.6,66.7,33.3,100.0,33.3,0.0,66.7,0.0,0.0,0.0,0.0,33.3,33.3,66.7,33.3,33.3,0.0,0.0,0.0,66.7,0.0,-133.3
43,G. Green - A. Price - M. Morris - A. Len - T. Warren,PHX,1,58.3,80.0,40.0,80.0,50.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,80.0,80.0,40.0,20.0,0.0,0.0,0.0,20.0,0.0,40.0
44,G. Green - M. Morris - I. Thomas - M. Plumlee - A. Len,PHX,1,58.3,125.0,50.0,100.0,50.0,25.0,25.0,100,0.0,0.0,0.0,25.0,50.0,75.0,25.0,25.0,0.0,0.0,0.0,50.0,0.0,25.0
45,S. Randolph - P. Tucker - M. Morris - I. Thomas - Z. Dragic,PHX,1,58.3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-100.0
46,P. Tucker - B. Wright - B. Knight - M. Morris - A. Goodwin,PHX,2,58.1,90.0,30.0,100.0,30.0,0.0,20.0,0.0,30.0,40.0,75.0,20.0,0.0,20.0,0.0,0.0,10.0,10.0,0.0,30.0,30.0,-140.0
47,P. Tucker - G. Dragic - E. Bledsoe - M. Morris - T. Warren,PHX,2,57.9,171.4,57.1,85.7,66.7,14.3,14.3,100,42.9,42.9,100,14.3,28.6,42.9,0.0,14.3,0.0,14.3,0.0,14.3,28.6,42.9
48,S. Randolph - I. Thomas - A. Len - A. Goodwin - T. Warren,PHX,1,57.8,166.7,66.7,200.0,33.3,33.3,66.7,50.0,0.0,0.0,0.0,100.0,33.3,133.3,33.3,0.0,0.0,0.0,0.0,33.3,0.0,100.0
49,G. Green - P. Tucker - B. Wright - G. Dragic - M. Morris,PHX,2,57.7,100.0,40.0,60.0,66.7,0.0,20.0,0.0,20.0,40.0,50.0,0.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,40.0,40.0,-60.0
50,E. Barron - M. Thornton - A. Goodwin - R. Bullock - T. Warren,PHX,1,57.6,72.7,27.3,90.9,30.0,9.1,36.4,25.0,9.1,18.2,50.0,0.0,54.5,54.5,9.1,0.0,0.0,9.1,0.0,9.1,9.1,0.0
51,P. Tucker - B. Wright - E. Bledsoe - A. Len - T. Warren,PHX,1,57.5,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,150.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0
52,P. Tucker - B. Wright - E. Bledsoe - B. Knight - A. Len,PHX,1,57.5,250.0,100.0,100.0,100,50.0,50.0,100,0.0,0.0,0.0,0.0,50.0,50.0,100.0,0.0,0.0,0.0,0.0,50.0,0.0,150.0
53,P. Tucker - M. Morris - M. Morris - A. Len - A. Goodwin,PHX,3,57.1,25.0,12.5,75.0,16.7,0.0,25.0,0.0,0.0,0.0,0.0,12.5,37.5,50.0,12.5,37.5,0.0,12.5,12.5,50.0,0.0,-50.0
54,G. Green - P. Tucker - M. Morris - I. Thomas - A. Len,PHX,3,57.0,100.0,30.0,80.0,37.5,0.0,30.0,0.0,40.0,40.0,100,10.0,30.0,40.0,0.0,10.0,0.0,0.0,0.0,20.0,40.0,-80.0
55,B. Wright - E. Bledsoe - M. Morris - A. Len - A. Goodwin,PHX,1,56.1,66.7,33.3,100.0,33.3,0.0,33.3,0.0,0.0,0.0,0.0,0.0,66.7,66.7,33.3,33.3,0.0,0.0,0.0,33.3,0.0,66.7
56,G. Green - M. Morris - M. Morris - A. Goodwin - T. Warren,PHX,1,55.7,93.3,46.7,106.7,43.8,0.0,20.0,0.0,0.0,0.0,0.0,6.7,20.0,26.7,20.0,0.0,20.0,13.3,13.3,26.7,6.7,-6.7
57,G. Green - B. Knight - M. Morris - M. Morris - T. Warren,PHX,1,55.6,233.3,100.0,133.3,75.0,0.0,0.0,0.0,33.3,33.3,100,33.3,0.0,33.3,33.3,0.0,0.0,0.0,0.0,0.0,33.3,100.0
58,G. Green - B. Wright - G. Dragic - E. Bledsoe - M. Morris,PHX,1,55.0,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0
59,G. Green - P. Tucker - E. Bledsoe - M. Morris - M. Plumlee,PHX,6,55.0,105.0,35.0,87.5,40.0,17.5,27.5,63.6,17.5,25.0,70.0,15.0,32.5,47.5,25.0,17.5,5.0,2.5,5.0,17.5,25.0,-15.0
60,G. Green - P. Tucker - G. Dragic - A. Len - T. Warren,PHX,1,55.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,P. Tucker - M. Thornton - E. Bledsoe - M. Morris - A. Len,PHX,2,55.0,40.0,20.0,120.0,16.7,0.0,40.0,0.0,0.0,0.0,0.0,40.0,0.0,40.0,0.0,0.0,20.0,0.0,20.0,0.0,40.0,-40.0
62,G. Green - P. Tucker - A. Tolliver - I. Thomas - M. Plumlee,PHX,5,54.5,110.0,35.0,90.0,38.9,25.0,65.0,38.5,15.0,15.0,100,10.0,35.0,45.0,15.0,15.0,10.0,0.0,5.0,15.0,20.0,20.0
63,G. Green - P. Tucker - G. Dragic - E. Bledsoe - A. Len,PHX,5,54.5,47.4,21.1,84.2,25.0,0.0,26.3,0.0,5.3,10.5,50.0,5.3,26.3,31.6,10.5,21.1,10.5,10.5,10.5,36.8,15.8,-78.9
64,P. Tucker - B. Wright - E. Bledsoe - M. Morris - A. Goodwin,PHX,7,54.5,87.0,28.3,91.3,31.0,6.5,23.9,27.3,23.9,32.6,73.3,23.9,41.3,65.2,19.6,13.0,6.5,4.3,0.0,15.2,19.6,-15.2
65,B. Wright - B. Knight - M. Morris - M. Morris - A. Goodwin,PHX,3,54.4,92.3,42.3,92.3,45.8,7.7,26.9,28.6,0.0,0.0,0.0,7.7,23.1,30.8,26.9,7.7,11.5,0.0,3.8,11.5,3.8,-42.3
66,P. Tucker - A. Tolliver - G. Dragic - E. Bledsoe - M. Morris,PHX,1,54.4,33.3,0.0,33.3,0.0,0.0,33.3,0.0,33.3,33.3,100,0.0,0.0,0.0,0.0,66.7,0.0,0.0,0.0,33.3,0.0,-133.3
67,P. Tucker - B. Wright - M. Thornton - E. Bledsoe - M. Morris,PHX,2,54.4,100.0,45.5,100.0,45.5,9.1,45.5,20.0,0.0,0.0,0.0,27.3,36.4,63.6,27.3,27.3,0.0,0.0,9.1,9.1,9.1,-18.2
68,S. Randolph - A. Tolliver - I. Thomas - A. Goodwin - T. Warren,PHX,1,54.4,100.0,37.5,75.0,50.0,25.0,37.5,66.7,0.0,0.0,0.0,12.5,50.0,62.5,25.0,25.0,0.0,0.0,0.0,12.5,0.0,-25.0
69,E. Barron - G. Green - J. McNeal - M. Morris - T. Warren,PHX,1,54.2,100.0,50.0,83.3,60.0,0.0,16.7,0.0,0.0,0.0,0.0,0.0,33.3,33.3,33.3,16.7,0.0,0.0,0.0,16.7,0.0,0.0
70,G. Green - A. Tolliver - I. Thomas - M. Plumlee - A. Goodwin,PHX,2,54.2,25.0,0.0,25.0,0.0,0.0,25.0,0.0,25.0,50.0,50.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,25.0,-200.0
71,P. Tucker - A. Price - A. Len - A. Goodwin - T. Warren,PHX,1,54.2,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,100.0,0.0,-100.0
72,S. Randolph - G. Dragic - A. Goodwin - T. Warren - Z. Dragic,PHX,1,54.2,75.0,25.0,75.0,33.3,0.0,0.0,0.0,25.0,25.0,100,0.0,50.0,50.0,25.0,25.0,25.0,0.0,25.0,50.0,25.0,0.0
73,G. Green - B. Wright - M. Morris - I. Thomas - T. Warren,PHX,1,54.1,144.4,66.7,100.0,66.7,0.0,33.3,0.0,11.1,11.1,100,0.0,11.1,11.1,11.1,0.0,0.0,0.0,0.0,33.3,11.1,-44.4
74,G. Green - B. Wright - E. Bledsoe - M. Morris - T. Warren,PHX,4,53.8,100.0,37.9,79.3,47.8,6.9,10.3,66.7,17.2,24.1,71.4,13.8,48.3,62.1,20.7,20.7,6.9,13.8,0.0,20.7,13.8,31.0
75,G. Green - S. Randolph - M. Morris - I. Thomas - M. Plumlee,PHX,2,53.8,132.0,52.0,92.0,56.5,12.0,28.0,42.9,16.0,16.0,100,8.0,36.0,44.0,16.0,8.0,0.0,4.0,0.0,12.0,12.0,8.0
76,E. Barron - G. Green - P. Tucker - M. Morris - S. Curry,PHX,1,53.7,77.8,33.3,88.9,37.5,11.1,44.4,25.0,0.0,22.2,0.0,11.1,33.3,44.4,22.2,11.1,0.0,0.0,0.0,44.4,33.3,0.0
77,G. Green - P. Tucker - E. Bledsoe - M. Morris - I. Thomas,PHX,3,53.7,77.8,33.3,77.8,42.9,0.0,44.4,0.0,11.1,22.2,50.0,0.0,11.1,11.1,11.1,11.1,11.1,0.0,0.0,33.3,22.2,-77.8
78,G. Green - B. Wright - M. Morris - A. Goodwin - R. Bullock,PHX,1,53.6,66.7,0.0,33.3,0.0,0.0,33.3,0.0,66.7,66.7,100,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,33.3,0.0
79,B. Wright - G. Dragic - E. Bledsoe - M. Morris - I. Thomas,PHX,1,53.3,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0,-250.0
80,P. Tucker - B. Wright - G. Dragic - E. Bledsoe - A. Len,PHX,2,53.3,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
81,P. Tucker - M. Morris - T. Ennis - T. Warren - Z. Dragic,PHX,1,53.3,133.3,50.0,116.7,42.9,16.7,66.7,25.0,16.7,33.3,50.0,33.3,33.3,66.7,50.0,0.0,0.0,0.0,0.0,0.0,16.7,16.7
82,B. Wright - A. Price - M. Morris - M. Morris - T. Warren,PHX,1,53.1,100.0,33.3,100.0,33.3,0.0,0.0,0.0,33.3,33.3,100,16.7,33.3,50.0,0.0,16.7,0.0,0.0,0.0,0.0,16.7,0.0
83,P. Tucker - B. Wright - M. Thornton - M. Morris - A. Goodwin,PHX,1,53.0,180.0,80.0,160.0,50.0,0.0,20.0,0.0,20.0,20.0,100,60.0,20.0,80.0,40.0,0.0,0.0,0.0,0.0,40.0,20.0,20.0
84,G. Green - P. Tucker - G. Dragic - E. Bledsoe - M. Plumlee,PHX,3,52.9,150.0,50.0,87.5,57.1,37.5,50.0,75.0,12.5,25.0,50.0,25.0,0.0,25.0,37.5,12.5,0.0,0.0,0.0,37.5,37.5,-37.5
85,P. Tucker - B. Wright - M. Morris - A. Goodwin - T. Warren,PHX,5,52.9,108.3,45.8,87.5,52.4,0.0,8.3,0.0,16.7,16.7,100,8.3,29.2,37.5,16.7,16.7,0.0,4.2,4.2,16.7,25.0,-37.5
86,P. Tucker - E. Bledsoe - M. Morris - M. Morris - I. Thomas,PHX,5,52.9,125.0,46.4,103.6,44.8,17.9,39.3,45.5,14.3,14.3,100,17.9,35.7,53.6,25.0,10.7,0.0,0.0,10.7,32.1,14.3,10.7
87,G. Green - E. Bledsoe - M. Morris - M. Morris - T. Warren,PHX,2,52.7,140.0,40.0,90.0,44.4,30.0,70.0,42.9,30.0,30.0,100,20.0,40.0,60.0,20.0,10.0,0.0,10.0,10.0,20.0,30.0,50.0
88,G. Green - P. Tucker - G. Dragic - E. Bledsoe - I. Thomas,PHX,3,52.7,144.4,44.4,88.9,50.0,22.2,44.4,50.0,33.3,33.3,100,22.2,22.2,44.4,22.2,0.0,11.1,22.2,0.0,33.3,33.3,33.3
89,B. Wright - M. Thornton - M. Morris - A. Goodwin - T. Warren,PHX,2,52.5,91.3,39.1,95.7,40.9,8.7,34.8,25.0,4.3,8.7,50.0,13.0,39.1,52.2,26.1,8.7,17.4,8.7,0.0,26.1,13.0,-4.3
90,P. Tucker - E. Bledsoe - M. Morris - A. Goodwin - T. Warren,PHX,5,52.4,118.3,50.0,97.6,51.3,6.1,22.0,27.8,12.2,24.4,50.0,15.9,36.6,52.4,28.0,8.5,7.3,4.9,3.7,15.9,23.2,11.0
91,A. Tolliver - G. Dragic - M. Morris - I. Thomas - A. Len,PHX,1,52.3,40.0,20.0,80.0,25.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,20.0,20.0,0.0,0.0,0.0,20.0,20.0,-100.0
92,G. Green - A. Tolliver - E. Bledsoe - M. Morris - I. Thomas,PHX,1,52.2,66.7,33.3,100.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,33.3,33.3,66.7,0.0,0.0,0.0,0.0,33.3,0.0,33.3,-33.3
93,G. Green - S. Randolph - E. Bledsoe - M. Morris - A. Len,PHX,1,52.2,133.3,66.7,133.3,50.0,0.0,66.7,0.0,0.0,0.0,0.0,33.3,0.0,33.3,33.3,0.0,33.3,0.0,0.0,33.3,0.0,66.7
94,P. Tucker - B. Wright - G. Dragic - E. Bledsoe - M. Morris,PHX,1,52.2,100.0,33.3,100.0,33.3,33.3,66.7,50.0,0.0,0.0,0.0,0.0,33.3,33.3,33.3,0.0,0.0,33.3,33.3,66.7,0.0,66.7
95,G. Green - P. Tucker - A. Tolliver - E. Bledsoe - M. Plumlee,PHX,2,52.1,84.6,30.8,84.6,36.4,15.4,38.5,40.0,7.7,7.7,100,23.1,23.1,46.2,23.1,30.8,7.7,0.0,0.0,15.4,23.1,-53.8
96,G. Green - P. Tucker - G. Dragic - M. Morris - A. Len,PHX,4,52.1,161.5,53.8,61.5,87.5,30.8,38.5,80.0,23.1,38.5,60.0,0.0,23.1,23.1,30.8,23.1,0.0,7.7,0.0,23.1,46.2,15.4
97,B. Wright - G. Dragic - M. Morris - I. Thomas - M. Plumlee,PHX,2,52.0,121.4,50.0,85.7,58.3,7.1,21.4,33.3,14.3,14.3,100,21.4,28.6,50.0,14.3,28.6,21.4,0.0,0.0,28.6,21.4,14.3
98,G. Green - A. Tolliver - M. Morris - A. Len - T. Ennis,PHX,1,52.0,145.5,54.5,81.8,66.7,18.2,18.2,100,18.2,27.3,66.7,9.1,45.5,54.5,18.2,18.2,9.1,9.1,0.0,18.2,18.2,72.7
99,G. Green - G. Dragic - M. Morris - M. Morris - A. Len,PHX,5,52.0,107.1,35.7,71.4,50.0,28.6,42.9,66.7,7.1,14.3,50.0,7.1,21.4,28.6,21.4,21.4,0.0,7.1,0.0,28.6,21.4,-35.7
100,E. Barron - G. Green - J. McNeal - A. Goodwin - T. Warren,PHX,1,51.9,130.8,38.5,69.2,55.6,23.1,38.5,60.0,30.8,38.5,80.0,15.4,15.4,30.8,15.4,30.8,23.1,0.0,0.0,23.1,30.8,38.5
101,G. Green - A. Tolliver - M. Plumlee - A. Goodwin - T. Ennis,PHX,2,51.9,82.4,29.4,70.6,41.7,5.9,29.4,20.0,17.6,23.5,75.0,5.9,41.2,47.1,17.6,17.6,5.9,5.9,5.9,5.9,23.5,-29.4
102,G. Green - M. Morris - M. Morris - I. Thomas - A. Len,PHX,5,51.8,130.0,50.0,90.0,55.6,10.0,35.0,28.6,20.0,25.0,80.0,15.0,15.0,30.0,20.0,10.0,15.0,10.0,0.0,50.0,30.0,50.0
103,B. Wright - A. Price - M. Morris - M. Morris - A. Goodwin,PHX,1,51.7,200.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-100.0
104,G. Green - G. Dragic - I. Thomas - A. Len - T. Warren,PHX,1,51.7,0.0,0.0,66.7,0.0,0.0,0.0,0.0,0.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,-200.0
105,G. Green - G. Dragic - M. Morris - A. Len - T. Warren,PHX,1,51.7,107.7,46.2,107.7,42.9,15.4,30.8,50.0,0.0,0.0,0.0,15.4,7.7,23.1,38.5,23.1,7.7,0.0,15.4,15.4,7.7,-7.7
106,G. Green - M. Morris - I. Thomas - M. Plumlee - A. Goodwin,PHX,1,51.7,100.0,40.0,100.0,40.0,20.0,60.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,20.0,40.0,40.0,-100.0
107,G. Green - P. Tucker - B. Wright - M. Morris - I. Thomas,PHX,1,51.7,40.0,0.0,60.0,0.0,0.0,20.0,0.0,40.0,40.0,100,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,40.0,-40.0
108,G. Green - S. Randolph - G. Dragic - M. Morris - I. Thomas,PHX,1,51.7,75.0,37.5,112.5,33.3,0.0,12.5,0.0,0.0,0.0,0.0,25.0,12.5,37.5,0.0,12.5,25.0,0.0,0.0,37.5,25.0,-12.5
